"Predator","Year","Predator.no","Prey","Prey.no","eatenW"
"A.radiata",1979,2,"Whiting",9,2119.0656591
"A.radiata",1980,2,"Whiting",9,1909.986080751
"A.radiata",1981,2,"Whiting",9,1819.6805504367
"A.radiata",1982,2,"Whiting",9,1211.4479586096
"A.radiata",1983,2,"Whiting",9,3063.8143258632
"A.radiata",1984,2,"Whiting",9,4394.76184114308
"A.radiata",1985,2,"Whiting",9,3439.1317290624
"A.radiata",1986,2,"Whiting",9,6417.7326952884
"A.radiata",1987,2,"Whiting",9,16400.048340996
"A.radiata",1988,2,"Whiting",9,4772.58692922
"A.radiata",1989,2,"Whiting",9,8358.050099394
"A.radiata",1990,2,"Whiting",9,5724.2172549708
"A.radiata",1991,2,"Whiting",9,4716.87930016083
"A.radiata",1992,2,"Whiting",9,10656.807443676
"A.radiata",1993,2,"Whiting",9,7435.3761976311
"A.radiata",1994,2,"Whiting",9,3876.7935301218
"A.radiata",1995,2,"Whiting",9,4269.58283160036
"A.radiata",1996,2,"Whiting",9,2014.95495968055
"A.radiata",1997,2,"Whiting",9,3644.95508240175
"A.radiata",1998,2,"Whiting",9,6418.0903702932
"A.radiata",1999,2,"Whiting",9,3781.51738403139
"A.radiata",2000,2,"Whiting",9,5738.2239347469
"A.radiata",2001,2,"Whiting",9,5189.6988313344
"A.radiata",2002,2,"Whiting",9,3728.02644104202
"A.radiata",2003,2,"Whiting",9,3287.82796177374
"A.radiata",2004,2,"Whiting",9,3140.3902264686
"A.radiata",2005,2,"Whiting",9,2349.29993596353
"A.radiata",2006,2,"Whiting",9,2093.80853230191
"A.radiata",2007,2,"Whiting",9,3597.64293941892
"A.radiata",2008,2,"Whiting",9,2793.5828295543
"A.radiata",2009,2,"Whiting",9,1326.33193116762
"A.radiata",2010,2,"Whiting",9,1454.53304487375
"A.radiata",2011,2,"Whiting",9,2020.80531532185
"A.radiata",2012,2,"Whiting",9,904.72746532644
"A.radiata",2013,2,"Whiting",9,853.62640775865
"A.radiata",2014,2,"Whiting",9,1088.53382583045
"A.radiata",2015,2,"Whiting",9,2567.22635153772
"A.radiata",2016,2,"Whiting",9,1787.73205262535
"A.radiata",2017,2,"Whiting",9,783.79724908188
"A.radiata",2018,2,"Whiting",9,715.68441324432
"A.radiata",2019,2,"Whiting",9,720.3121911846
"Grey gurnard",1974,3,"Whiting",9,118871.277739257
"Grey gurnard",1975,3,"Whiting",9,83614.8243056362
"Grey gurnard",1976,3,"Whiting",9,153609.172313205
"Grey gurnard",1977,3,"Whiting",9,22031.1998184355
"Grey gurnard",1978,3,"Whiting",9,131888.071478702
"Grey gurnard",1979,3,"Whiting",9,5237.81448675959
"Grey gurnard",1980,3,"Whiting",9,10602.1574875679
"Grey gurnard",1981,3,"Whiting",9,173838.482602876
"Grey gurnard",1982,3,"Whiting",9,43315.4647425885
"Grey gurnard",1983,3,"Whiting",9,36159.2904155495
"Grey gurnard",1984,3,"Whiting",9,73876.67828652
"Grey gurnard",1985,3,"Whiting",9,20708.8205235884
"Grey gurnard",1986,3,"Whiting",9,53515.3948013738
"Grey gurnard",1987,3,"Whiting",9,34969.1713846531
"Grey gurnard",1988,3,"Whiting",9,21296.7157144169
"Grey gurnard",1989,3,"Whiting",9,41652.0255927971
"Grey gurnard",1990,3,"Whiting",9,47730.8531416028
"Grey gurnard",1991,3,"Whiting",9,34691.5436623307
"Grey gurnard",1992,3,"Whiting",9,74168.2893969512
"Grey gurnard",1993,3,"Whiting",9,56674.7304300862
"Grey gurnard",1994,3,"Whiting",9,70566.9928586229
"Grey gurnard",1995,3,"Whiting",9,64525.2099137816
"Grey gurnard",1996,3,"Whiting",9,33280.4059151864
"Grey gurnard",1997,3,"Whiting",9,74574.9745253336
"Grey gurnard",1998,3,"Whiting",9,131099.253097493
"Grey gurnard",1999,3,"Whiting",9,157186.463974015
"Grey gurnard",2000,3,"Whiting",9,119256.407421101
"Grey gurnard",2001,3,"Whiting",9,148422.707869822
"Grey gurnard",2002,3,"Whiting",9,115067.036752364
"Grey gurnard",2003,3,"Whiting",9,90653.1602644732
