"Year","Species.n","Age","M2"
1987,18,1,0.782789305822746
1987,21,1,0.392003800805681
1987,20,1,0
1987,22,1,1.06909685500085
1987,24,1,1.79063384721568
1987,26,1,0
1987,23,1,0.64750621766844
1987,19,1,0
1987,27,1,0
1987,25,1,1.12460634291429
1987,17,1,1.05000929561398
1988,16,1,1.06179522669979
1988,18,1,0.923988890363427
1988,21,1,0.478242925657255
1988,20,1,0
1988,22,1,1.26832340539553
1988,24,1,1.75334427484032
1988,26,1,0
1988,23,1,0.657422022700712
1988,19,1,0
1988,27,1,0
1988,25,1,1.15992461125354
1988,17,1,1.34279021002532
1989,16,1,0.947188259214279
1989,18,1,0.901984242385741
1989,21,1,0.391802141261731
1989,20,1,0
1989,22,1,0.995678958282472
1989,24,1,1.5215774982001
1989,26,1,0
1989,23,1,0.586750916255762
1989,19,1,0
1989,27,1,0
1989,25,1,1.28477340340019
1989,17,1,1.12609536925693
1990,16,1,1.0404413644013
1990,18,1,0.900191896484433
1990,21,1,0.478083632860476
1990,20,1,0
1990,22,1,0.969686290641181
1990,24,1,1.48956993089912
1990,26,1,0
1990,23,1,0.598649987962136
1990,19,1,0
1990,27,1,0
1990,25,1,1.46588025685157
1990,17,1,1.15621717310212
1991,16,1,0.96706063951237
1991,18,1,0.780577649568991
1991,21,1,0.449160388892092
1991,20,1,0
1991,22,1,1.16686013100703
1991,24,1,1.4124193967925
1991,26,1,0
1991,23,1,0.609935801969346
1991,19,1,0
1991,27,1,0
1991,25,1,1.19290405441703
1991,17,1,0.977161198563205
1992,16,1,0.921714722429692
1992,18,1,0.925622298643698
1992,21,1,0.417468306252337
1992,20,1,0
1992,22,1,0.874538374219819
1992,24,1,1.2909478629173
1992,26,1,0
1992,23,1,0.517743149576061
1992,19,1,0
1992,27,1,0
1992,25,1,1.12215386100701
1992,17,1,1.04161603691595
1993,16,1,0.963658927048127
1993,18,1,0.869160726774935
1993,21,1,0.40062805712755
1993,20,1,0
1993,22,1,1.2014912347455
1993,24,1,1.51363255496303
1993,26,1,0
1993,23,1,0.551016612869981
1993,19,1,0
1993,27,1,0
1993,25,1,1.19926314087576
1993,17,1,1.12980437340643
1994,16,1,0.966976631074275
1994,18,1,0.908919534394478
1994,21,1,0.431785944490549
1994,20,1,0
1994,22,1,0.958066434957882
1994,24,1,1.4919591765797
