Year Species.n Age M1 M2 M F Z N  
2037 2 7 0.0969551 0.0316555 0.128611 0.395127 0.523738 1.19907e+06 
2037 2 8 0.0971033 0.0265396 0.123643 0.395614 0.519257 1.75272e+06 
2038 2 0 0.0504137 0.0706006 0.121014 0 0.121014 2.08522e+07 
2038 2 1 0.0984191 0.119251 0.21767 0.0645444 0.282215 1.5685e+07 
2038 2 2 0.0988475 0.0641565 0.163004 0.136146 0.29915 1.17316e+07 
2038 2 3 0.0980807 0.0541121 0.152193 0.203513 0.355705 8.32734e+06 
2038 2 4 0.0977381 0.0422672 0.140005 0.276903 0.416908 5.61487e+06 
2038 2 5 0.0968931 0.0391982 0.136091 0.395084 0.531176 3.43268e+06 
2038 2 6 0.0968774 0.0336886 0.130566 0.39489 0.525456 2.024e+06 
2038 2 7 0.0969552 0.0316544 0.12861 0.395127 0.523737 1.19924e+06 
2038 2 8 0.0971033 0.0265387 0.123642 0.395614 0.519256 1.75635e+06 
2039 2 0 0.0504136 0.0705997 0.121013 0 0.121013 2.08522e+07 
2039 2 1 0.0984192 0.119249 0.217668 0.0645445 0.282213 1.56851e+07 
2039 2 2 0.0988475 0.0641552 0.163003 0.136146 0.299149 1.17316e+07 
2039 2 3 0.0980807 0.0541111 0.152192 0.203513 0.355704 8.32744e+06 
2039 2 4 0.0977382 0.0422663 0.140004 0.276903 0.416907 5.61498e+06 
2039 2 5 0.0968931 0.0391974 0.136091 0.395085 0.531175 3.43279e+06 
2039 2 6 0.0968775 0.0336879 0.130565 0.39489 0.525456 2.02411e+06 
2039 2 7 0.0969552 0.0316537 0.128609 0.395127 0.523736 1.19935e+06 
2039 2 8 0.0971033 0.0265381 0.123641 0.395614 0.519255 1.75861e+06 
2040 2 0 0.0504136 0.0705992 0.121013 0 0.121013 2.08522e+07 
2040 2 1 0.0984192 0.119248 0.217667 0.0645445 0.282211 1.56851e+07 
2040 2 2 0.0988476 0.0641544 0.163002 0.136146 0.299148 1.17317e+07 
2040 2 3 0.0980807 0.0541104 0.152191 0.203513 0.355704 8.3275e+06 
2040 2 4 0.0977382 0.0422658 0.140004 0.276903 0.416907 5.61505e+06 
2040 2 5 0.0968932 0.0391969 0.13609 0.395085 0.531175 3.43286e+06 
2040 2 6 0.0968775 0.0336874 0.130565 0.39489 0.525455 2.02418e+06 
2040 2 7 0.0969552 0.0316532 0.128608 0.395127 0.523736 1.19941e+06 
2040 2 8 0.0971033 0.0265378 0.123641 0.395614 0.519255 1.76002e+06 
2041 2 0 0.0504136 0.0705989 0.121013 0 0.121013 2.08522e+07 
2041 2 1 0.0984192 0.119247 0.217666 0.0645445 0.282211 1.56851e+07 
2041 2 2 0.0988476 0.0641539 0.163002 0.136146 0.299147 1.17317e+07 
2041 2 3 0.0980807 0.0541099 0.152191 0.203513 0.355703 8.32754e+06 
2041 2 4 0.0977382 0.0422654 0.140004 0.276903 0.416907 5.6151e+06 
2041 2 5 0.0968932 0.0391965 0.13609 0.395085 0.531174 3.43291e+06 
2041 2 6 0.0968775 0.0336871 0.130565 0.39489 0.525455 2.02422e+06 
2041 2 7 0.0969552 0.0316529 0.128608 0.395127 0.523735 1.19945e+06 
2041 2 8 0.0971033 0.0265376 0.123641 0.395614 0.519255 1.76089e+06 
2042 2 0 0.0504136 0.0705987 0.121012 0 0.121012 2.08522e+07 
2042 2 1 0.0984192 0.119246 0.217666 0.0645445 0.28221 1.56851e+07 
2042 2 2 0.0988476 0.0641536 0.163001 0.136146 0.299147 1.17317e+07 
2042 2 3 0.0980807 0.0541097 0.15219 0.203513 0.355703 8.32756e+06 
2042 2 4 0.0977382 0.0422652 0.140003 0.276903 0.416906 5.61512e+06 
2042 2 5 0.0968932 0.0391963 0.13609 0.395085 0.531174 3.43293e+06 
2042 2 6 0.0968775 0.0336869 0.130564 0.39489 0.525455 2.02425e+06 
2042 2 7 0.0969552 0.0316528 0.128608 0.395127 0.523735 1.19948e+06 
2042 2 8 0.0971033 0.0265374 0.123641 0.395614 0.519254 1.76144e+06 
2043 2 0 0.0504136 0.0705985 0.121012 0 0.121012 2.08522e+07 
2043 2 1 0.0984192 0.119246 0.217665 0.0645445 0.28221 1.56851e+07 
2043 2 2 0.0988476 0.0641534 0.163001 0.136146 0.299147 1.17317e+07 
2043 2 3 0.0980807 0.0541095 0.15219 0.203513 0.355703 8.32758e+06 
2043 2 4 0.0977382 0.0422651 0.140003 0.276903 0.416906 5.61514e+06 
2043 2 5 0.0968932 0.0391962 0.136089 0.395085 0.531174 3.43295e+06 
2043 2 6 0.0968775 0.0336868 0.130564 0.39489 0.525455 2.02426e+06 
2043 2 7 0.0969552 0.0316527 0.128608 0.395127 0.523735 1.19949e+06 
2043 2 8 0.0971033 0.0265373 0.123641 0.395614 0.519254 1.76178e+06 
2044 2 0 0.0504136 0.0705985 0.121012 0 0.121012 2.08522e+07 
2044 2 1 0.0984193 0.119246 0.217665 0.0645445 0.28221 1.56851e+07 
2044 2 2 0.0988476 0.0641533 0.163001 0.136146 0.299147 1.17318e+07 
2044 2 3 0.0980807 0.0541094 0.15219 0.203513 0.355703 8.32759e+06 
2044 2 4 0.0977382 0.042265 0.140003 0.276903 0.416906 5.61515e+06 
2044 2 5 0.0968932 0.0391961 0.136089 0.395085 0.531174 3.43296e+06 
2044 2 6 0.0968775 0.0336868 0.130564 0.39489 0.525455 2.02427e+06 
2044 2 7 0.0969552 0.0316526 0.128608 0.395127 0.523735 1.1995e+06 
2044 2 8 0.0971033 0.0265373 0.123641 0.395614 0.519254 1.76199e+06 
2045 2 0 0.0504136 0.0705984 0.121012 0 0.121012 2.08522e+07 
2045 2 1 0.0984193 0.119246 0.217665 0.0645445 0.282209 1.56851e+07 
2045 2 2 0.0988476 0.0641532 0.163001 0.136146 0.299147 1.17318e+07 
2045 2 3 0.0980807 0.0541093 0.15219 0.203513 0.355703 8.32759e+06 
2045 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61516e+06 
2045 2 5 0.0968932 0.0391961 0.136089 0.395085 0.531174 3.43297e+06 
2045 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02428e+06 
2045 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19951e+06 
2045 2 8 0.0971033 0.0265373 0.123641 0.395614 0.519254 1.76212e+06 
2046 2 0 0.0504136 0.0705984 0.121012 0 0.121012 2.08522e+07 
2046 2 1 0.0984193 0.119246 0.217665 0.0645445 0.282209 1.56851e+07 
2046 2 2 0.0988476 0.0641532 0.163001 0.136146 0.299147 1.17318e+07 
2046 2 3 0.0980807 0.0541093 0.15219 0.203513 0.355703 8.3276e+06 
2046 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61516e+06 
2046 2 5 0.0968932 0.0391961 0.136089 0.395085 0.531174 3.43297e+06 
2046 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2046 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19951e+06 
2046 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76221e+06 
2047 2 0 0.0504136 0.0705984 0.121012 0 0.121012 2.08522e+07 
2047 2 1 0.0984193 0.119246 0.217665 0.0645445 0.282209 1.56851e+07 
2047 2 2 0.0988476 0.0641532 0.163001 0.136146 0.299147 1.17318e+07 
2047 2 3 0.0980807 0.0541093 0.15219 0.203513 0.355703 8.3276e+06 
2047 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61516e+06 
2047 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2047 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2047 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2047 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76226e+06 
2048 2 0 0.0504136 0.0705984 0.121012 0 0.121012 2.08522e+07 
2048 2 1 0.0984193 0.119246 0.217665 0.0645445 0.282209 1.56851e+07 
2048 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2048 2 3 0.0980807 0.0541093 0.15219 0.203513 0.355703 8.3276e+06 
2048 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2048 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2048 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2048 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2048 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76229e+06 
2049 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2049 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2049 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2049 2 3 0.0980807 0.0541093 0.15219 0.203513 0.355703 8.3276e+06 
2049 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2049 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2049 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2049 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2049 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76231e+06 
2050 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2050 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2050 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2050 2 3 0.0980807 0.0541093 0.15219 0.203513 0.355703 8.3276e+06 
2050 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2050 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2050 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2050 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2050 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76232e+06 
2051 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2051 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2051 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2051 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2051 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2051 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2051 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2051 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2051 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76233e+06 
2052 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2052 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2052 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2052 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2052 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2052 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2052 2 6 0.0968775 0.0336867 0.130564 0.39489 0.525455 2.02429e+06 
2052 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2052 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76233e+06 
2053 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2053 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2053 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2053 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2053 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2053 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2053 2 6 0.0968775 0.0336866 0.130564 0.39489 0.525455 2.02429e+06 
2053 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2053 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76234e+06 
2054 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2054 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2054 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2054 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2054 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2054 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2054 2 6 0.0968775 0.0336866 0.130564 0.39489 0.525455 2.02429e+06 
2054 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2054 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76234e+06 
2055 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2055 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
2055 2 2 0.0988476 0.0641531 0.163001 0.136146 0.299147 1.17318e+07 
2055 2 3 0.0980807 0.0541092 0.15219 0.203513 0.355703 8.3276e+06 
2055 2 4 0.0977382 0.0422649 0.140003 0.276903 0.416906 5.61517e+06 
2055 2 5 0.0968932 0.039196 0.136089 0.395085 0.531174 3.43298e+06 
2055 2 6 0.0968775 0.0336866 0.130564 0.39489 0.525455 2.02429e+06 
2055 2 7 0.0969552 0.0316525 0.128608 0.395127 0.523735 1.19952e+06 
2055 2 8 0.0971033 0.0265372 0.123641 0.395614 0.519254 1.76234e+06 
2056 2 0 0.0504136 0.0705983 0.121012 0 0.121012 2.08522e+07 
2056 2 1 0.0984193 0.119245 0.217665 0.0645445 0.282209 1.56851e+07 
