"Year","Species.n","Age","M2"
2009,2,2,0.200796545086087
2009,3,2,0.182483583055714
2010,2,2,0.242546677075762
2010,3,2,0.230333720116917
2011,2,2,0.211096883505815
2011,3,2,0.219014422151676
2012,2,2,0.138575784611745
2012,3,2,0.182977630681873
2013,2,2,0.158114166734151
2013,3,2,0.172583710994736
2014,2,2,0.165841193897848
2014,3,2,0.181128475910784
2015,2,2,0.12370060567428
2015,3,2,0.127914444422332
2016,2,2,0.181511617699097
2016,3,2,0.137530216454078
2017,2,2,0.116769277198266
2017,3,2,0.11072179770339
2018,2,2,0.0951863276990493
2018,3,2,0.0968273631350898
2019,2,2,0.0830028695722883
2019,3,2,0.0977897220915469
2020,2,2,0.0798876993607615
2020,3,2,0.0779456019912469
2021,2,2,0.0775746705096238
2021,3,2,0.07732803340266
1974,2,3,0.150472886941693
1974,3,3,0.272109842892157
1975,2,3,0.176395778762965
1975,3,3,0.301987111692155
1976,2,3,0.156991398086632
1976,3,3,0.234521059980808
1977,2,3,0.171036324270741
1977,3,3,0.278548411023089
1978,2,3,0.240339441016671
1978,3,3,0.515397252418821
1979,2,3,0.251997211071081
1979,3,3,0.56447261406583
1980,2,3,0.32003910637644
1980,3,3,0.558031845618625
1981,2,3,0.296265754608079
1981,3,3,0.474536829408107
1982,2,3,0.297302108159883
1982,3,3,0.4857955763128
1983,2,3,0.277452699555547
1983,3,3,0.409499180610873
1984,2,3,0.274221375319002
1984,3,3,0.323549524954932
1985,2,3,0.225620016690506
1985,3,3,0.283541066077458
1986,2,3,0.234437907768016
1986,3,3,0.261817170716187
1987,2,3,0.167107441934229
1987,3,3,0.237582289899843
1988,2,3,0.166218411314398
1988,3,3,0.262417286440544
1989,2,3,0.189400552657282
1989,3,3,0.17584957413552
1990,2,3,0.0862729919483894
1990,3,3,0.103823227723445
1991,2,3,0.0643150565511809
1991,3,3,0.0669240137938127
1992,2,3,0.0693131558766288
1992,3,3,0.0665870104077562
1993,2,3,0.10476282738438
1993,3,3,0.119795354439941
1994,2,3,0.120885447232715
1994,3,3,0.115896263966148
1995,2,3,0.11128251891281
1995,3,3,0.0979138719442891
1996,2,3,0.0906608716944229
1996,3,3,0.0774731706729831
1997,2,3,0.0781843513415907
1997,3,3,0.0733258083026925
1998,2,3,0.074063231997819
1998,3,3,0.0772215465718035
1999,2,3,0.0829255550436196
1999,3,3,0.0905524189742058
2000,2,3,0.121778665868563
2000,3,3,0.117686881375749
2001,2,3,0.116098203547197
2001,3,3,0.118922927628576
2002,2,3,0.131708423305105
2002,3,3,0.13750236101376
2003,2,3,0.0907183736490249
2003,3,3,0.109308853213194
2004,2,3,0.0983245018720401
2004,3,3,0.0942498077639219
2005,2,3,0.159813553445963
2005,3,3,0.14713567075543
2006,2,3,0.149744016282009
2006,3,3,0.169196389165834
2007,2,3,0.143449360054679
