Year Quarter Area Predator.no Predator.age Prey.no Prey.age Part.M2
2023 2 1 1 5 3 1 0.0054051
2023 2 1 1 5 3 2 0.00317967
2023 2 1 1 5 3 3 0.00279518
2023 2 1 1 5 3 4 0.00257921
2023 2 1 1 5 3 5 0.00252945
2023 2 1 1 5 3 6 0.00216248
2023 2 1 1 5 3 7 0.00232364
2023 2 1 1 6 2 1 0.00326659
2023 2 1 1 6 2 2 0.00188115
2023 2 1 1 6 2 3 0.00203148
2023 2 1 1 6 2 4 0.00130603
2023 2 1 1 6 2 5 0.00137053
2023 2 1 1 6 2 6 0.00103715
2023 2 1 1 6 2 7 0.000828685
2023 2 1 1 6 2 8 0.000697233
2023 2 1 1 6 3 1 0.00935815
2023 2 1 1 6 3 2 0.00621848
2023 2 1 1 6 3 3 0.00560421
2023 2 1 1 6 3 4 0.00524871
2023 2 1 1 6 3 5 0.00516567
2023 2 1 1 6 3 6 0.0045397
2023 2 1 1 6 3 7 0.00481764
2023 2 1 1 7 2 1 0.00220099
2023 2 1 1 7 2 2 0.00139408
2023 2 1 1 7 2 3 0.00148741
2023 2 1 1 7 2 4 0.00102113
2023 2 1 1 7 2 5 0.00106435
2023 2 1 1 7 2 6 0.000836604
2023 2 1 1 7 2 7 0.000687959
2023 2 1 1 7 2 8 0.000591245
2023 2 1 1 7 3 1 0.00536007
2023 2 1 1 7 3 2 0.00397909
2023 2 1 1 7 3 3 0.00366806
2023 2 1 1 7 3 4 0.00348217
2023 2 1 1 7 3 5 0.00343812
2023 2 1 1 7 3 6 0.0030982
2023 2 1 1 7 3 7 0.00325085
2023 2 1 1 8 2 1 0.0036518
2023 2 1 1 8 2 2 0.00254296
